[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:12] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:13] /addskill Arkos, magic
[1/1/2018 20:28:14] /addskill Arkos, magic
[1/1/2018 20:28:14] /addskill Arkos, magic
[1/1/2018 20:28:14] /addskill Arkos, magic
[1/1/2018 20:28:14] /addskill Arkos, magic
[1/1/2018 20:28:14] /addskill Arkos, magic
[1/1/2018 20:28:14] /addskill Arkos, magic
[1/1/2018 20:28:15] /addskill Arkos, magic
